,hsa6095,hsa2099,hsa5241,hsa367,hsa2908,hsa190,hsa5914,hsa5915,hsa5916,hsa6096,hsa6097,hsa6256,hsa6257,hsa6258,hsa2100,hsa7421,hsa8856,hsa9971,hsa5465,hsa4306,hsa9970,hsa2101,hsa2103,hsa2104,hsa5468,hsa3174
hsa6095,1,0.006294964028776978,0.005517241379310344,0.008350730688935281,0.005409582689335394,0.005065856129685917,0.021450459652706845,0.024691358024691357,0.02368692070030896,0.12360688956433637,0.10531400966183575,0.017364657814096015,0.01904761904761905,0.017346938775510204,0.0066857688634192934,0.014830508474576272,0.012618296529968454,0.014955134596211365,0.015228426395939087,0.010659560293137908,0.01726121979286536,0.006382978723404255,0.004878048780487805,0.005128205128205128,0.018590998043052837,0.011891891891891892
hsa2099,0.006294964028776978,1,0.008541392904073587,0.01126573889993373,0.004392386530014641,0.0028328611898017,0.009514747859181731,0.013409961685823755,0.014381591562799617,0.0066100094428706326,0.007226738934056007,0.010466222645099905,0.0106951871657754,0.012357414448669201,0.08579088471849866,0.011811023622047244,0.011730205278592375,0.009302325581395349,0.010406811731315043,0.006357279084551812,0.004250797024442083,0.01383399209486166,0.024612579762989972,0.025787965616045846,0.006398537477148081,0.0050150451354062184
hsa5241,0.005517241379310344,0.008541392904073587,1,0.049269085002707096,0.052230046948356805,0.0071581961345740875,0.01511879049676026,0.013024602026049204,0.00941346850108617,0.004294917680744453,0.006228373702422145,0.005039596832253419,0.0136986301369863,0.0057553956834532375,0.01029512697323267,0.0051698670605613,0.0073475385745775165,0.007077140835102618,0.005017921146953405,0.04657247514390372,0.00547302580140735,0.011111111111111112,0.004181184668989547,0.005054151624548736,0.0013966480446927375,0.008239700374531835
hsa367,0.008350730688935281,0.01126573889993373,0.049269085002707096,1,0.03489059727971614,0.006502890173410405,0.005813953488372093,0.005843681519357195,0.009502923976608187,0.004335260115606936,0.006284916201117319,0.006540697674418605,0.01243953006219765,0.007988380537400145,0.013157894736842105,0.005219985085756898,0.005934718100890208,0.0064285714285714285,0.005065123010130246,0.03635405690200211,0.00315955766192733,0.008227374719521317,0.0035161744022503515,0.004373177842565598,0.005637773079633545,0.009077155824508321
hsa2908,0.005409582689335394,0.004392386530014641,0.052230046948356805,0.03489059727971614,1,0.0040290088638195,0.0072992700729927005,0.0065252854812398045,0.006530612244897959,0.0040290088638195,0.0031031807602792862,0.0072992700729927005,0.004601226993865031,0.004051863857374392,0.010760953112990008,0.00333889816360601,0.005809128630705394,0.006364359586316627,0.00887812752219532,0.05982905982905983,0.003561887800534283,0.010050251256281407,0.006254886630179828,0.007323026851098454,0.004702194357366771,0.005089058524173028
hsa190,0.005065856129685917,0.0028328611898017,0.0071581961345740875,0.006502890173410405,0.0040290088638195,1,0.0021598272138228943,0.0,0.0032679738562091504,0.004282655246252677,0.0050916496945010185,0.004319654427645789,0.0050150451354062184,0.005393743257820928,0.0030181086519114686,0.002244668911335578,0.0011135857461024498,0.002105263157894737,0.002145922746781116,0.0013812154696132596,0.0024509803921568627,0.004509582863585118,0.00411522633744856,0.0021691973969631237,0.0,0.005733944954128441
hsa5914,0.021450459652706845,0.009514747859181731,0.01511879049676026,0.005813953488372093,0.0072992700729927005,0.0021598272138228943,1,0.2711306256860593,0.2153846153846154,0.02267818574514039,0.02053388090349076,0.018518518518518517,0.024266936299292215,0.018498367791077257,0.012170385395537525,0.022650056625141562,0.012359550561797753,0.01910828025477707,0.022727272727272728,0.0125,0.01485148514851485,0.010238907849829351,0.011410788381742738,0.010940919037199124,0.015608740894901144,0.015046296296296295
hsa5915,0.024691358024691357,0.013409961685823755,0.013024602026049204,0.005843681519357195,0.0065252854812398045,0.0,0.2711306256860593,1,0.25249169435215946,0.025027203482045703,0.022750775594622543,0.018660812294182216,0.020366598778004074,0.021929824561403508,0.012257405515832482,0.014840182648401826,0.01245753114382786,0.019251336898395723,0.023991275899672846,0.011165387299371946,0.0149812734082397,0.010321100917431193,0.01044932079414838,0.007717750826901874,0.016771488469601678,0.015169194865810968
hsa5916,0.02368692070030896,0.014381591562799617,0.00941346850108617,0.009502923976608187,0.006530612244897959,0.0032679738562091504,0.2153846153846154,0.25249169435215946,1,0.02505446623093682,0.027950310559006212,0.024175824175824177,0.023445463812436288,0.01756311745334797,0.012269938650306749,0.011428571428571429,0.012471655328798186,0.021413276231263382,0.021834061135371178,0.009776536312849162,0.015,0.011481056257175661,0.013598326359832637,0.00772626931567329,0.014690451206715634,0.015186915887850467
hsa6096,0.12360688956433637,0.0066100094428706326,0.004294917680744453,0.004335260115606936,0.0040290088638195,0.004282655246252677,0.02267818574514039,0.025027203482045703,0.02505446623093682,1,0.10896130346232179,0.0183585313174946,0.017051153460381142,0.018338727076591153,0.006036217303822937,0.015712682379349047,0.01670378619153675,0.01263157894736842,0.015021459227467811,0.011740331491712707,0.0196078431372549,0.004509582863585118,0.006172839506172839,0.006507592190889371,0.017543859649122806,0.009174311926605505
