,hsa6095,hsa2099,hsa5241,hsa367,hsa2908,hsa190,hsa5914,hsa5915,hsa5916,hsa6096,hsa6097,hsa6256,hsa6257,hsa6258,hsa2100,hsa7421,hsa8856,hsa9971,hsa5465,hsa4306,hsa9970,hsa2101,hsa2103,hsa2104,hsa5468,hsa3174
hsa6095,1,0.05475763016157989,0.06060606060606061,0.06740792216817235,0.06095679012345679,0.03640040444893832,0.0672782874617737,0.07084188911704312,0.07194244604316546,0.18806875631951467,0.15043394406943106,0.0652395514780836,0.06463878326996197,0.06822810590631365,0.05433746425166826,0.06236786469344609,0.04931794333683106,0.050746268656716415,0.06382978723404255,0.059214903526280775,0.0574052812858783,0.044585987261146494,0.042843232716650435,0.044012282497441144,0.06640625,0.04746494066882417
hsa2099,0.05475763016157989,1,0.08136482939632546,0.0800794176042356,0.06359649122807018,0.0471253534401508,0.05982905982905983,0.06978967495219886,0.06794258373205742,0.04241281809613572,0.05590622182146077,0.060778727445394115,0.060498220640569395,0.06072106261859583,0.1480820695807315,0.047151277013752456,0.050731707317073174,0.05385329619312906,0.053824362606232294,0.06412698412698413,0.03711558854718982,0.07001972386587771,0.0791628753412193,0.07912297426120114,0.046532846715328466,0.06006006006006006
hsa5241,0.06060606060606061,0.08136482939632546,1,0.13142239048134127,0.12778429073856976,0.059328091493924234,0.08051761322789361,0.07442196531791907,0.07447577729573392,0.045746962115797,0.06772633033863165,0.0503235082674335,0.08891928864569083,0.0603448275862069,0.0726525017135024,0.05530973451327434,0.05649303008070433,0.057950530035335686,0.049391553328561204,0.11552535284892838,0.05308352849336456,0.07766272189349112,0.06610995128740431,0.06200432588320115,0.044630404463040445,0.056843679880329095
hsa367,0.06740792216817235,0.0800794176042356,0.13142239048134127,1,0.10513880685174247,0.05194805194805195,0.04716981132075472,0.045951859956236324,0.06423357664233577,0.05411255411255411,0.06694560669456066,0.05152394775036284,0.0841959972394755,0.05873821609862219,0.06154910096818811,0.049143708116157855,0.0437037037037037,0.05777460770328103,0.05057803468208093,0.1036842105263158,0.044952681388012616,0.06870799103808813,0.0625,0.05895196506550218,0.04996481351161154,0.05891238670694864
hsa2908,0.06095679012345679,0.06359649122807018,0.12778429073856976,0.10513880685174247,1,0.04585679806918745,0.062348178137651825,0.06596091205211727,0.06845965770171149,0.04827031375703942,0.051897753679318356,0.06558704453441296,0.05666156202143951,0.05339805825242718,0.07521105141980046,0.04583333333333333,0.041425020712510356,0.06274821286735505,0.04915390813859791,0.13659647125782584,0.036444444444444446,0.07023411371237458,0.07494145199063232,0.06173842404549147,0.05712050078247261,0.04995766299745978
hsa190,0.03640040444893832,0.0471253534401508,0.059328091493924234,0.05194805194805195,0.04585679806918745,1,0.04418103448275862,0.033659066232356136,0.041304347826086954,0.03311965811965812,0.041666666666666664,0.040948275862068964,0.04704704704704705,0.038751345532831,0.03112449799196787,0.04143337066069429,0.03888888888888889,0.038865546218487396,0.027837259100642397,0.039310344827586205,0.05012224938875306,0.05061867266591676,0.03490759753593429,0.032467532467532464,0.02265705458290422,0.04805491990846682
hsa5914,0.0672782874617737,0.05982905982905983,0.08051761322789361,0.04716981132075472,0.062348178137651825,0.04418103448275862,1,0.3088718510405257,0.27631578947368424,0.07004310344827586,0.0706967213114754,0.06630434782608696,0.07265388496468214,0.0738327904451683,0.058704453441295545,0.06779661016949153,0.052690582959641255,0.057203389830508475,0.07883369330453564,0.07350901525658807,0.05802469135802469,0.056753688989784334,0.06625258799171843,0.0611353711790393,0.055036344755970926,0.05658198614318707
hsa5915,0.07084188911704312,0.06978967495219886,0.07442196531791907,0.045951859956236324,0.06596091205211727,0.033659066232356136,0.3088718510405257,1,0.29171270718232045,0.07709011943539631,0.06707946336429309,0.06900328587075576,0.06707317073170732,0.07658643326039387,0.06218144750254842,0.06264236902050115,0.05310734463276836,0.06296691568836713,0.08161044613710555,0.06620209059233449,0.05603985056039851,0.04919908466819222,0.058394160583941604,0.05500550055005501,0.060669456066945605,0.05587892898719441
hsa5916,0.07194244604316546,0.06794258373205742,0.07447577729573392,0.06423357664233577,0.06845965770171149,0.041304347826086954,0.27631578947368424,0.29171270718232045,1,0.06630434782608696,0.07954545454545454,0.08442982456140351,0.08240081383519837,0.07119386637458927,0.061224489795918366,0.06043329532497149,0.05656108597285068,0.06303418803418803,0.0784313725490196,0.06276150627615062,0.06733167082294264,0.06758304696449026,0.06889352818371608,0.06167400881057269,0.06492146596858639,0.055944055944055944
hsa6096,0.18806875631951467,0.04241281809613572,0.045746962115797,0.05411255411255411,0.04827031375703942,0.03311965811965812,0.07004310344827586,0.07709011943539631,0.06630434782608696,1,0.15345528455284552,0.06357758620689655,0.06006006006006006,0.07104413347685684,0.04216867469879518,0.06494960806270997,0.05555555555555555,0.04726890756302521,0.055674518201284794,0.05517241379310345,0.05867970660146699,0.04049493813273341,0.04106776180698152,0.04112554112554113,0.061791967044284246,0.04004576659038902
