,hsa6095,hsa2099,hsa5241,hsa367,hsa2908,hsa190,hsa5914,hsa5915,hsa5916,hsa6096,hsa6097,hsa6256,hsa6257,hsa6258,hsa2100,hsa7421,hsa8856,hsa9971,hsa5465,hsa4306,hsa9970,hsa2101,hsa2103,hsa2104,hsa5468,hsa3174
hsa6095,1,0.2732974910394265,0.25378266850068776,0.26717557251908397,0.28659476117103233,0.2401614530776993,0.2736520854526958,0.2735655737704918,0.2635897435897436,0.3410696266397578,0.33012512030798846,0.27568667344862663,0.269449715370019,0.2784552845528455,0.2721217887725975,0.26582278481012656,0.26596858638743454,0.28599801390268126,0.2871587462082912,0.2651162790697674,0.2531500572737686,0.2531779661016949,0.28377065111758987,0.2900919305413687,0.28167641325536064,0.2604951560818084
hsa2099,0.2732974910394265,1,0.2667103538663172,0.29279576999339063,0.3,0.277516462841016,0.2919431279620853,0.28530534351145037,0.2922636103151863,0.2699905926622766,0.29162916291629165,0.2862559241706161,0.2921847246891652,0.29071969696969696,0.327693677649154,0.2676470588235294,0.2590068159688413,0.2659870250231696,0.2761545711592837,0.2714013950538998,0.24126984126984127,0.27263779527559057,0.3079019073569482,0.2940057088487155,0.27049180327868855,0.27472527472527475
hsa5241,0.25378266850068776,0.2667103538663172,1,0.33927606699081575,0.31440281030444966,0.238401142041399,0.2555635319454415,0.240981240981241,0.2512635379061372,0.23197715917202,0.25741890959282265,0.24192390524048815,0.28346994535519127,0.2503586800573888,0.24982888432580425,0.22901325478645065,0.2315018315018315,0.23147494707127736,0.23302358827734096,0.31018276762402086,0.2073265783320343,0.25406203840472674,0.26337734537873525,0.24118070554355653,0.23537604456824512,0.22628827483196415
hsa367,0.26717557251908397,0.29279576999339063,0.33927606699081575,1,0.3185840707964602,0.2507204610951009,0.2565217391304348,0.24471959213401312,0.25583090379008744,0.25504322766570603,0.2757660167130919,0.2572463768115942,0.28600964851826327,0.25633598841419264,0.27486187845303867,0.23866171003717473,0.23520710059171598,0.25427350427350426,0.24314574314574314,0.30231335436382756,0.215748031496063,0.2535421327367636,0.2762973352033661,0.25218023255813954,0.2522839072382291,0.23152337858220212
hsa2908,0.28659476117103233,0.3,0.31440281030444966,0.3185840707964602,1,0.25542168674698795,0.28455941794664513,0.2813008130081301,0.28315703824247357,0.27068273092369477,0.28074245939675174,0.280517380759903,0.2790519877675841,0.2770597738287561,0.27816091954022987,0.2545757071547421,0.2564102564102564,0.27835051546391754,0.2670957361222848,0.33484934621944284,0.22892635314995563,0.24874791318864775,0.2985190958690569,0.2911597729115977,0.27734375,0.2595097210481826
hsa190,0.2401614530776993,0.277516462841016,0.238401142041399,0.2507204610951009,0.25542168674698795,1,0.24731182795698925,0.23293607800650054,0.23969631236442515,0.2302771855010661,0.2515212981744422,0.24946236559139784,0.2627372627372627,0.24919441460794844,0.24649298597194388,0.24022346368715083,0.24057649667405764,0.24423480083857443,0.22542735042735043,0.21831955922865015,0.25121951219512195,0.2558922558922559,0.2540983606557377,0.25593952483801297,0.2261048304213772,0.24771689497716895
hsa5914,0.2736520854526958,0.2919431279620853,0.2555635319454415,0.2565217391304348,0.28455941794664513,0.24731182795698925,1,0.3912568306010929,0.3741794310722101,0.26559139784946234,0.2740286298568507,0.2917570498915401,0.28600201409869086,0.30119176598049835,0.2676767676767677,0.27959413754227735,0.26733780760626397,0.2642706131078224,0.2801724137931034,0.2569252077562327,0.25862068965517243,0.2536806342015855,0.2944214876033058,0.2821350762527233,0.2632124352331606,0.2626728110599078
hsa5915,0.2735655737704918,0.28530534351145037,0.240981240981241,0.24471959213401312,0.2813008130081301,0.23293607800650054,0.3912568306010929,1,0.3627342888643881,0.26435536294691225,0.2646755921730175,0.28743169398907104,0.2647058823529412,0.3034934497816594,0.2706002034587996,0.27386363636363636,0.26719278466741825,0.2747603833865815,0.2768729641693811,0.24982602644398053,0.2422360248447205,0.23972602739726026,0.28303850156087407,0.27552140504939626,0.2745302713987474,0.26480836236933797
hsa5916,0.2635897435897436,0.2922636103151863,0.2512635379061372,0.25583090379008744,0.28315703824247357,0.23969631236442515,0.3741794310722101,0.3627342888643881,1,0.2613882863340564,0.28350515463917525,0.29431072210065645,0.28426395939086296,0.28852459016393445,0.26476578411405294,0.27417519908987487,0.2866817155756208,0.2814498933901919,0.27608695652173915,0.24930362116991645,0.25,0.264,0.29375,0.27582417582417584,0.26854754440961337,0.2534883720930233
hsa6096,0.3410696266397578,0.2699905926622766,0.23197715917202,0.25504322766570603,0.27068273092369477,0.2302771855010661,0.26559139784946234,0.26435536294691225,0.2613882863340564,1,0.3144016227180527,0.2591397849462366,0.25274725274725274,0.2663802363050483,0.2625250501002004,0.2670391061452514,0.2616407982261641,0.2777777777777778,0.2799145299145299,0.24517906336088155,0.25609756097560976,0.24691358024691357,0.2838114754098361,0.2775377969762419,0.2816032887975334,0.2579908675799087
