0,D00002,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
1,D00005,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
2,D00007,N[C@@H](CCC(O)=O)C(O)=O
3,D00014,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
4,D00018,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
5,D00021,N[C@@H](CC1=CC=CC=C1)C(O)=O
6,D00027,O=C1NC=CC(=O)N1
7,D00029,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
8,D00032,N[C@@H](CC1=CNC=N1)C(O)=O
9,D00035,OC(=O)[C@@H]1CCCN1
10,D00036,NC(=O)C1=CC=CN=C1
11,D00037,OC(=O)CC(O)(CC(O)=O)C(O)=O
12,D00038,OC(=O)C1=CC=CC=C1
13,D00039,CC(C)[C@H](N)C(O)=O
14,D00041,C[C@@H](O)[C@H](N)C(O)=O
15,D00043,CC(C)OP(F)(=O)OC(C)C
16,D00045,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
17,D00049,OC(=O)C1=CN=CC=C1
18,D00050,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
19,D00052,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
20,D00054,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
21,D00055,OC(=O)C1=CC(=O)NC(=O)N1
22,D00065,CC[C@H](C)[C@H](N)C(O)=O
23,D00070,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
24,D00086,OC(=O)CCCC[C@@H]1CCSS1
25,D00094,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
26,D00097,OC(=O)C1=CC=CC=C1O
27,D00103,O=C(O)[C@H](O)[C@@H](O)C(=O)O
28,D00107,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
29,D00109,CC(=O)OC1=CC=CC=C1C(O)=O
30,D00118,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
31,D00120,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
32,D00125,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
33,D00126,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
34,D00127,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
35,D00129,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
36,D00130,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
37,D00131,CCN(CC)C(=S)SSC(=S)N(CC)CC
38,D00132,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
39,D00136,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
40,D00139,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
41,D00141,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
42,D00142,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
43,D00145,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
44,D00148,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
45,D00151,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
46,D00153,[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H]
47,D00155,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
48,D00158,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.O.O.[Na+]
49,D00160,NCCCCCC(O)=O
50,D00168,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
51,D00169,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+]
52,D00183,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
